g,fitted_C1,lower_C1,upper_C1,fitted_C2,lower_C2,upper_C2,fitted_C3,lower_C3,upper_C3,pinn_C1,pinn_C2,pinn_C3
0.25,0.10044075087561885,0.0931372289201033,0.0931395043124261,0.08618601533275193,0.0841448293627723,0.0945687497081855,0.03991799930480636,0.1035610211991151,0.1253706740647267,0.09361580670346746,0.18690281814990936,0.00021283882047305083
0.3,0.12821957553064992,0.1203073263387895,0.1203101474345902,0.08831225328399574,0.0786337895652773,0.0866973320707311,0.03930606165934893,0.110482642387071,0.1296048724364089,0.11791345857824212,0.20170065401192333,0.0002554820326492844
0.35,0.15349693567631345,0.1456646362973185,0.1456675359849278,0.09132806032977436,0.0723571933435182,0.0789862102244016,0.04011961352368897,0.1177567211004536,0.1345512362095546,0.14033779128057644,0.2139075665344994,0.0002946180593077128
0.4,0.17553332508004052,0.1683875296929466,0.1683901201135191,0.09487523924365034,0.0664500867053917,0.0720443299506673,0.04186404296450395,0.1247986004029082,0.1391149689284694,0.16064970140373952,0.22317246165605,0.0003298608261986993
0.45,0.1945511201444864,0.1882534084016252,0.1882554806639906,0.09870454914688315,0.0613797702083439,0.0660567248308257,0.044216848090076734,0.1312081880361438,0.1427905096942877,0.1788424951435503,0.2296385169767125,0.00036117182749943527
0.5,0.21089730759886666,0.2054229328102672,0.2054245248061616,0.10258199916916598,0.0572028726375279,0.0611814188589785,0.04687919098943302,0.1361811031297626,0.1454819903083992,0.19504335225482936,0.23370253388174336,0.0003887632261284906
0.55,0.22491663902913114,0.2202295575982213,0.220230753845093,0.10633570086469268,0.0537956268160867,0.0571960030748516,0.049626964717521954,0.1398813114302101,0.1473068258063799,0.20944399597416832,0.23584548661184473,0.00041298854466625273
0.6,0.23695051490502203,0.2330412822581935,0.2330421806210235,0.10988687500552996,0.0509976327234874,0.0539309234195452,0.052348105326710824,0.1424684049701866,0.1484468746317759,0.2222530309533828,0.23652911992137804,0.0004342500674342976
0.65,0.2473400602815934,0.2441946304500236,0.2441952789352011,0.11316439463380203,0.0486706080974419,0.0510908354338859,0.054939757230191864,0.144456671798988,0.1490740612958696,0.23366908166450057,0.2361487753573072,0.00045294030565790435
0.7,0.2564256917098345,0.253973396214831,0.2539738691493206,0.11609744934876977,0.046695673577039,0.0487060150917083,0.05729945176253371,0.1457391473376386,0.1493521649514009,0.24386960565862473,0.23502152691040973,0.00046941428569126435
0.75,0.26447467975322486,0.2626087453345264,0.2626090957483445,0.11864791012094776,0.0450143057125779,0.0467036365510203,0.05936466603643458,0.1464705887807451,0.1493502358684856,0.25300877160098667,0.2333913597738101,0.0004839813991407938
0.8,0.2716185445992834,0.2702866036630462,0.2702868674728868,0.1208383007137871,0.0435677143477192,0.0450030580004825,0.06114701184489055,0.1468147110552412,0.149150000074542,0.26121938002286654,0.23144046364855925,0.0004969069155427448
0.85,0.2779740555751372,0.277156348640412,0.2771565503106148,0.12269773552354296,0.042311387805599,0.0435434704711644,0.06266615657788245,0.1468871261023216,0.1488110936036575,0.2686159871714953,0.2293014397097333,0.0005084171320780322
0.9,0.28365798200791315,0.2833385547234331,0.2833387111048736,0.12425532894647066,0.0412111155256057,0.042278580525816,0.06394176762539117,0.146769177089484,0.1483767573810132,0.2752979541266318,0.2270683739250673,0.0005187052126194815
0.95,0.2887870932247385,0.2889312571395682,0.2889313800042353,0.1255401953788254,0.0402402089543175,0.0411727870106702,0.0649935123773975,0.1465182736552942,0.147878341462441,0.2813519856203299,0.22480616863262945,0.000527936519633402
1.0,0.2934766885212359,0.2940148249049104,0.2940149226024018,0.12658133541007544,0.0393775796267995,0.0401984121144346,0.06584104971924587,0.1461752002560562,0.147338600333144,0.28685410043509696,0.22255810181284816,0.0005362530777205601
1.05,0.29780172822026557,0.2986556992094062,0.2986557777520855,0.12740462667016822,0.038606376257508,0.0393336952800551,0.06650380516148768,0.1457691541872393,0.1467740658395064,0.2918711177035132,0.2203517883596501,0.0005437771647642777
1.1,0.3017928344929108,0.3029092554529323,0.3029093192334352,0.12803251422139414,0.0379129965338625,0.0385613374100596,0.06700094770325903,0.1453211921471732,0.1461967484679857,0.29646178128186484,0.21820377570015148,0.0005506141629842789
1.145,0.30512274838555825,0.3068220028432979,0.3068220551150348,0.12844894830746795,0.0372863580651307,0.0378674390494823,0.06732260927445542,0.1448465943315447,0.1456153584009226,0.300271586456925,0.2163279186165966,0.0005562552893339407
1.2,0.30888664700986734,0.3104332863037794,0.3104333295073107,0.1287911548387536,0.0367173529942869,0.0372407196135389,0.06757501750222977,0.1443564993395582,0.1450361854159617,0.30456376416367675,0.21411338728297247,0.0005625772039647519
