# Source: arXiv:2203.09556 ancillary file Conformal_Data.nb.
# Extracted via data/extract_OPE_bounds.py.
n_value,g,C2_lower,C2_upper
1,3.5,0.36795034360575335,0.36795034400009474
1,3.55,0.3683930742322804,0.36839307460396226
1,3.6,0.3688237691448383,0.36882376949550055
1,3.65,0.3692429115936314,0.36924291192477326
1,3.7,0.3696509593401774,0.3696509596531702
1,3.75,0.3700483463136345,0.37004834660973573
1,3.8,0.37043548414015476,0.37043548442051905
1,3.85,0.370812763555984,0.3708127638216712
1,3.9,0.37118055571426606,0.37118055596625127
1,3.95,0.37153921339534207,0.37153921363452336
1,4.0,0.37188907212811056,0.3718890723553185
2,0.01,0.0,0.19985873193510495
2,0.02,0.043658137094786546,0.19941939212157186
2,0.03,0.0667209013644203,0.1781821736633513
2,0.04,0.07496474552984261,0.14792857112275498
2,0.05,0.0789528086193414,0.13385701612679676
2,0.06,0.08128099838028433,0.1261319898539288
2,0.07,0.08282837710737768,0.1213791479231597
2,0.08,0.08395240133193319,0.11818497452932758
2,0.09,0.0848150991135529,0.11587059625005988
2,0.1,0.08549427249583859,0.11407538217690887
2,0.11,0.08602782970925257,0.11259224181790775
2,0.12,0.08643366918411277,0.11129471519529703
2,0.13,0.08671945747599706,0.11010177046277145
2,0.14,0.08688779488113774,0.10895958874714086
2,0.15,0.08693909205446972,0.10783158457978487
2,0.16,0.08687322429333975,0.10669266296040567
2,0.17,0.08672824249007996,0.10552576358055524
2,0.18,0.08723311395297771,0.10431968915574037
2,0.19,0.0873944454180791,0.10306767793453359
2,0.2,0.0872716227640771,0.10176641863771865
2,0.21,0.08691190664261113,0.10041533403101302
2,0.22,0.08635382760386846,0.09901603077041313
2,0.23,0.08568538443160861,0.09757185444682616
2,0.24,0.08498089523627374,0.09608751337208787
2,0.25,0.0841448293627723,0.09456874970818557
2,0.3,0.0786337895652773,0.08669733207073119
2,0.35,0.07235719334351821,0.07898621022440167
2,0.4,0.06645008670539176,0.0720443299506673
2,0.45,0.06137977020834398,0.06605672483082574
2,0.5,0.05720287263752796,0.061181418858978556
2,0.55,0.05379562681608676,0.05719600307485166
2,0.6,0.050997632723487424,0.0539309234195452
2,0.65,0.0486706080974419,0.051090835433885935
2,0.7,0.04669567357703902,0.0487060150917083
2,0.75,0.045014305712577904,0.046703636551020306
2,0.8,0.04356771434771926,0.0450030580004825
2,0.85,0.042311387805599066,0.04354347047116444
2,0.9,0.041211115525605795,0.04227858052581607
2,0.95,0.04024020895431753,0.041172787010670224
2,1.0,0.03937757962679954,0.0401984121144346
2,1.05,0.038606376257508,0.03933369528005511
2,1.1,0.037912996533862535,0.03856133741005963
2,1.145,0.03728635806513071,0.03786743904948233
2,1.2,0.03671735299428691,0.03724071961353891
2,1.25,0.03619843537798818,0.036671937745471395
