# Source: arXiv:2203.09556 ancillary file Conformal_Data.nb.
# Extracted via data/extract_conformal_data.py.
n_value,g,Delta
1,3.9,1.9029306796256393
1,3.95,1.904099551920429
1,4.0,1.9052406297762676
2,0.0,2.0
2,0.01,2.000276392140847
2,0.02,2.0011055583497264
2,0.03,2.0024874864360043
2,0.04,2.0044222147075645
2,0.05,2.006909910228458
2,0.06,2.0099509603361065
2,0.07,2.013546062230792
2,0.08,2.017696294673855
2,0.09,2.02240315693582
2,0.1,2.027668562859356
2,0.11,2.033494781794798
2,0.12,2.0398843226820977
2,0.13,2.0468397621451584
2,0.14,2.0543635216625615
2,0.15,2.0624576023413383
2,0.16,2.071123288355028
2,0.17,2.080360831660945
2,0.18,2.0901691312430493
2,0.19,2.100545419967468
2,0.2,2.1114849713531734
2,0.21,2.1229808373181376
2,0.22,2.1350236264096916
2,0.23,2.147601330285008
2,0.24,2.1606992043609354
2,0.25,2.174299706663568
2,0.3,2.2490367788373704
2,0.35,2.3322606130039643
2,0.4,2.419585353281791
2,0.45,2.5067108493360855
2,0.5,2.5903062371387056
2,0.55,2.6683718906556098
2,0.6,2.740095285406881
2,0.65,2.8054644106724616
2,0.7,2.8648900751833675
2,0.75,2.9189469352927273
2,0.8,2.968232142115117
2,0.85,3.0133020751670183
2,0.9,3.0546509500593393
2,0.95,3.092708679824853
2,1.0,3.127846277541474
2,1.05,3.1603834344108424
2,1.1,3.1905960678641696
2,1.15,3.218723063687229
2,1.2,3.2449720339260186
2,1.25,3.2695241406289446
2,1.3,3.292538106954755
2,1.35,3.3141535473480523
2,1.4,3.3344937363310785
2,1.45,3.3536679174036377
2,1.5,3.3717732356681567
2,1.55,3.388896362150852
2,1.6,3.405114864781766
2,1.65,3.4204983704366985
2,1.7,3.4351095539654084
2,1.75,3.449004983352481
2,1.8,3.462235844741393
2,1.85,3.4748485667192823
2,1.9,3.4868853597831606
2,1.95,3.4983846841093893
2,2.0,3.509381656486289
2,2.05,3.519908405434521
2,2.1,3.5299943820445336
2,2.15,3.5396666328372555
2,2.2,3.5489500399495055
2,2.25,3.5578675331170087
2,2.3,3.566440277242203
2,2.35,3.574687838763928
2,2.4,3.5826283335706908
2,2.45,3.5902785588024018
2,2.5,3.5976541105490063
2,2.55,3.6047694891761926
2,2.6,3.6116381937688153
2,2.65,3.6182728069780206
2,2.7,3.624685071394978
2,2.75,3.630885958419512
2,2.8,3.6368857304555724
2,2.85,3.6426939972198666
2,2.9,3.648319766742543
2,2.95,3.653771491676258
2,3.0,3.659057111387402
2,3.05,3.664184090301984
2,3.1,3.6691594528487403
2,3.15,3.6739898153656423
2,3.2,3.678681415261398
2,3.25,3.6832401377902833
2,3.3,3.6876715404515275
2,3.35,3.691980875510472
2,3.4,3.6961731106372615
2,3.45,3.7002529478927495
2,3.5,3.704224841126209
2,3.55,3.7080930127767053
2,3.6,3.7118614670490286
2,3.65,3.715534006528298
2,3.7,3.7191142414013094
2,3.75,3.722605604178781
2,3.8,3.7260113597081843
2,3.85,3.7293346129661984
2,3.9,3.7325783237895362
2,3.95,3.735745310240794
2,4.0,3.7388382598220784
3,0.0,2.0
3,0.01,2.000723248096907
3,0.02,2.0028886968151194
3,0.03,2.0064835253344824
3,0.04,2.011486582913717
3,0.05,2.017868706705418
3,0.06,2.0255931509998306
3,0.07,2.034616113438206
3,0.08,2.044887341260275
3,0.09,2.0563507992211036
3,0.1,2.068945380461235
3,0.11,2.082605642276002
3,0.12,2.0972625502547286
3,0.13,2.112844216432797
3,0.14,2.129276619667128
3,0.15,2.1464842991504574
3,0.16,2.1643910145860534
3,0.17,2.1829203688595875
3,0.18,2.2019963909326825
3,0.19,2.2215440780679585
3,0.2,2.241489897361561
3,0.21,2.261762246940978
3,0.22,2.282291877159214
3,0.23,2.3030122717866295
3,0.24,2.323859988691749
3,0.25,2.344774958940616
3,0.3,2.4485207233200974
3,0.35,2.547192187512348
3,0.4,2.637745222132167
3,0.45,2.719188598129312
3,0.5,2.7918253050122086
3,0.55,2.856557383271849
3,0.6,2.9144395816931046
3,0.65,2.966464140206289
3,0.7,3.0134871972646238
3,0.75,3.0562217712400277
3,0.8,3.0952549385064017
3,0.85,3.131070165389968
3,0.9,3.1640678095123094
3,0.95,3.194581979590089
3,1.0,3.2228938289425497
3,1.05,3.2492418895403463
3,1.1,3.27383009586295
3,1.15,3.2968340462547125
