# Source: arXiv:2203.09556 ancillary file Conformal_Data.nb.
# Extracted via data/extract_conformal_data.py.
n_value,g,Delta
10,0.11,4.021071965661664
10,0.12,4.025077578013732
10,0.13,4.029431858160802
10,0.14,4.034135089132782
10,0.15,4.0391876816344805
10,0.15,4.0391876816344805
10,0.16,4.044590207316887
10,0.17,4.050343433894923
10,0.18,4.056448360534793
10,0.19,4.062906251811987
10,0.2,4.069718668556878
10,0.2,4.069718668556878
10,0.21,4.076887494042695
10,0.22,4.084414954202852
10,0.23,4.0923036308573675
10,0.24,4.100556467247456
10,0.25,4.109176765492522
10,0.25,4.109176765492522
10,0.3,4.1579288671371355
10,0.35,4.216528992346141
10,0.4,4.2855985582624285
10,0.45,4.36561859702416
10,0.5,4.456652136755829
10,0.55,4.558026535937035
10,0.6,4.668075698032568
10,0.65,4.784118659398071
10,0.7,4.902804373727919
10,0.75,5.0207417793453075
10,0.8,5.1351288378155155
10,0.85,5.244101274073377
10,0.9,5.346728323108782
10,0.95,5.442783727340757
10,1.0,5.532468508571314
10,1.05,5.616192049081986
10,1.1,5.694435725376429
10,1.15,5.767681448431367
10,1.2,5.836379947451462
10,1.25,5.900939929718773
10,1.3,5.961726986228594
10,1.35,6.019066502011355
10,1.4,6.073247868835088
10,1.45,6.124528827275329
10,1.5,6.173139481175417
10,1.55,6.219285844524396
10,1.6,6.263152912755965
10,1.65,6.304907299978191
10,1.7,6.3446994977346325
10,1.75,6.382665810576423
10,1.8,6.418930018160992
10,1.85,6.453604806676743
10,1.9,6.486793005688088
10,1.95,6.518588660553508
10,2.0,6.549077965514218
10,2.05,6.578340078335074
10,2.1,6.606447833896729
10,2.15,6.6334683712727935
10,2.2,6.659463686470173
10,2.25,6.684491121072145
10,2.3,6.708603795424703
10,2.35,6.7318509936838415
10,2.4,6.754278506943596
10,2.45,6.775928939750078
10,2.5,6.796841984542416
10,2.55,6.817054667920075
10,2.6,6.836601572096108
10,2.65,6.8555150344395805
10,2.7,6.873825327623589
10,2.75,6.891560822566197
10,2.8,6.908748136070792
10,2.85,6.925412264831923
10,2.9,6.94157670726626
10,2.95,6.957263574450555
10,3.0,6.972493691295018
10,3.05,6.98728668894743
10,3.1,7.0016610893086755
10,3.15,7.015634382438393
10,3.2,7.029223097544061
10,3.25,7.042442868168439
10,3.3,7.055308492124176
10,3.35,7.067833986665232
10,3.4,7.080032639332956
10,3.45,7.091917054869005
10,3.5,7.103499198546946
10,3.55,7.114790436238638
10,3.6,7.125801571499883
10,3.65,7.136542879931702
10,3.7,7.1470241410486075
10,3.75,7.157254667862853
10,3.8,7.167243334374056
10,3.85,7.1769986011354066
10,3.9,7.186528539052119
10,3.95,7.195840851553354
10,4.0,7.204942895266078
