lam,seed,violation_score,final_loss,plateau_epoch,plateau_drop_magnitude
0.0,0,2.695347504795658,0.0036569811931057585,18908,0.858345239507968
0.0,1,2.709965260333223,0.007810429294705975,17298,0.7544774035863501
0.0,2,2.770407077909353,0.05667876655218126,17647,0.7898834530596102
0.0,3,2.8433210781937612,0.16091074684531997,20399,0.9179053484325527
0.0,4,2.794139093828281,0.012518170025847168,18253,0.8685263164544642
0.001,0,3.2453985360039788,0.026331059732424056,18890,0.8410221616361817
0.001,1,3.08525491331489,0.0219564245626188,17251,0.7446017254866556
0.001,2,3.1901311804653973,0.015277557295632183,17686,0.7839881934978629
0.001,3,3.105191587809502,0.06832762044210307,20292,0.9080590205366987
0.001,4,3.1338100996674463,0.01546333301292875,18393,0.8641997653669887
0.01,0,3.887422686867901,0.1664687560853064,18919,0.8389283136426674
0.01,1,3.6701693939225546,0.15209713718498263,17130,0.7108623939043125
0.01,2,3.45422730033342,0.22188492896825363,18007,0.7750863409807283
0.01,3,3.5134857737994825,0.027742672179804792,20348,0.9072204945778046
0.01,4,3.37356088553368,0.02129202051911687,19155,0.8682590017341266
0.1,0,4.030282060830388,0.08370382202129359,19885,0.8383066157169602
0.1,1,4.082840864948371,0.05003524842389739,17269,0.6969490468874557
0.1,2,3.8213213431080226,0.06735058014459801,18923,0.7827046032188434
0.1,3,3.9773244910195813,0.07721133099937544,20603,0.9068311450907048
0.1,4,3.8938964669186533,0.035418112606461584,20194,0.8663277531204945
